"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000056","2016","1","3","0","13","0","0","0","0","0","0","4","1","2","1","9","-1","-1","-1","-1","1",\0,\0
"2016010000056","2016","2","19","0","18","0","0","0","0","0","0","0","1","1","1","5","-1","-1","-1","-1","1",\0,\0
"2016010000058","2016","1","1","0","9","0","5","0","0","0","0","4","1","6","1","5","-1","-1","-1","2","1",\0,\0
"2016010000058","2016","2","9","0","5","0","8","0","0","0","0","1","2","6","1","9","1997","2","2","2","1","FORD","C-MAX TITANIUM TDCI AUTO"
"2016010000060","2016","1","11","0","4","0","1","0","0","0","0","1","1","1","1","7","6700","2","5","3","1","ALEXANDER DENNIS","Missing"
"2016010000061","2016","1","9","0","18","0","0","0","0","0","0","1","1","2","2","8","1242","1","5","4","1","FORD","FIESTA EDGE"
"2016010000064","2016","1","9","0","18","0","1","0","0","0","0","1","1","6","1","8","1587","1","13","-1","-1","PEUGEOT","307 RAPIER 16V"
"2016010000064","2016","2","9","0","9","0","6","0","0","0","0","1","1","6","1","7","1396","1","16","7","1","ROVER","25 OLYMPIC S"
"2016010000066","2016","1","9","0","9","0","6","0","0","0","0","1","1","6","1","9","1086","1","11","1","1","HYUNDAI","GETZ GSI"
"2016010000067","2016","1","9","0","4","0","0","0","0","0","0","2","1","1","2","6","1582","2","3","7","1","HYUNDAI","I30 CLASSIC CRDI"
"2016010000067","2016","2","19","0","4","0","0","0","0","0","0","2","1","1","1","6","2402","2","6","-1","-1","FORD","TRANSIT 115 T350L RWD"
"2016010000067","2016","3","9","0","4","0","0","0","0","0","0","2","1","6","2","10","998","1","7","-1","-1","TOYOTA","YARIS T2 VVT-I"
"2016010000069","2016","1","9","0","9","0","5","0","0","0","0","0","2","6","1","9","1596","1","11","5","1","FORD","FOCUS ZETEC CLIMATE T"
"2016010000069","2016","2","1","0","18","0","1","0","0","0","0","1","1","2","1","6","-1","-1","-1","5","1",\0,\0
"2016010000072","2016","1","9","0","7","0","1","0","0","0","0","2","1","6","3","-1","1798","8","-1","-1","-1","TOYOTA","PRIUS T3 VVT-I CVT"
"2016010000072","2016","2","1","0","18","0","1","0","0","0","0","1","1","6","1","5","-1","-1","-1","6","1",\0,\0
"2016010000073","2016","1","8","0","7","0","6","0","0","0","0","1","1","1","1","8","1686","2","2","9","1","VAUXHALL","ZAFIRA EXCLUSIV CDTI EFLX"
"2016010000073","2016","2","1","0","18","4","2","5","0","0","0","4","1","6","1","6","-1","-1","-1","-1","-1",\0,\0
"2016010000074","2016","1","5","0","13","0","2","0","0","0","0","3","1","2","1","8","745","1","-1","5","1","Honda","NC 750 XD-G"
"2016010000076","2016","1","9","0","18","0","8","0","0","0","0","1","1","6","1","9","-1","-1","-1","-1","1",\0,\0
"2016010000076","2016","2","9","0","5","0","8","0","0","0","0","3","1","6","2","9","-1","-1","-1","-1","1",\0,\0
"2016010000077","2016","1","90","4","4","0","1","0","0","0","0","2","1","1","1","7","-1","-1","-1","5","1","VOLVO","Missing"
"2016010000077","2016","2","19","0","18","0","1","0","0","0","0","1","1","6","1","6","1598","2","2","1","1","VOLKSWAGEN","CADDY C20 BLK EDITION TDI BM"
"2016010000079","2016","1","8","0","12","0","1","0","0","0","0","3","1","1","1","5","1997","2","6","3","1","FORD","MONDEO TITANIUM TDCI 140"
"2016010000079","2016","2","2","0","13","0","1","0","0","0","0","1","1","6","2","6","49","1","12","3","1","PIAGGIO","LIBERTY"
"2016010000081","2016","1","9","0","11","0","0","5","0","0","0","1","1","2","1","6","998","1","1","5","1","FORD","FIESTA ZETEC"
"2016010000081","2016","2","9","0","18","0","0","0","0","0","0","2","1","6","2","7","1686","2","3","6","1","VAUXHALL","MOKKA SE CDTI AUTO"
"2016010000082","2016","1","9","0","3","0","2","0","0","0","0","2","1","6","1","6","6208","1","4","1","1","MERCEDES","C63 AMG AUTO"
"2016010000082","2016","2","9","0","18","0","1","0","0","0","0","1","1","6","1","11","1597","1","17","4","1","FORD","ESCORT FINESSE"
"2016010000084","2016","1","11","0","18","0","1","0","0","0","0","0","1","1","1","7","4500","2","9","2","1","ALEXANDER DENNIS","Missing"
"2016010000085","2016","1","9","0","18","9","0","0","0","0","0","1","1","6","3","-1","-1","-1","-1","-1","-1",\0,\0
"2016010000085","2016","2","1","0","18","9","0","0","0","0","0","2","1","6","1","5","-1","-1","-1","5","1",\0,\0
"2016010000086","2016","1","5","0","5","0","1","0","0","0","0","2","1","2","1","7","998","1","8","5","1","YAMAHA","YZF R1 08"
"2016010000086","2016","2","9","0","18","0","1","0","0","1","0","1","1","2","2","6","1206","1","7","6","1","CHEVROLET","AVEO LS"
"2016010000087","2016","1","4","0","14","0","1","0","0","0","0","1","1","6","1","8","124","1","3","10","3","YAMAHA","NXC 125 CYGNUS"
"2016010000087","2016","2","9","0","5","0","6","0","0","0","0","1","1","6","1","5","1197","1","-1","2","1","SEAT","LEON SE TECHNOLOGY TSI S-A"
